index,from,to,R,X,B,rate_A,length_km,type
66,35,36,7.26e-07,7.26e-07,0.0,38.06701265,0.0003513839929723,fictitious line
67,37,38,0.00296555,0.001366851,3.155596327494115e-05,8.95470268,0.1982494814361023,FeAl 25
68,38,39,5.15e-06,3.22e-06,2.368796999485708e-06,11.24100974,0.0007789375170392,TXSP 3x1x95 Al
69,40,41,0.006356329,0.001388278,0.001167639955173,6.477870019999999,0.4799474829307052,TXSE 1x3x50 Al
70,42,109,0.003536462,0.001629991,3.763095041230967e-05,8.95470268,0.236415422980048,FeAl 25
71,109,110,0.00389529,0.001795378,4.144918419357133e-05,8.95470268,0.2604033729133668,FeAl 25
72,110,111,2.97e-05,1.86e-05,1.3660829298004952e-05,11.24100974,0.0044921250982652,TXSP 3x1x95 Al
73,42,43,0.000522201,0.000431498,1.2538954113300047e-05,9.33575385,0.0702070206030603,BLX 50
74,43,115,0.003097676,0.002559632,7.43805875934187e-05,9.33575385,0.4164653126930157,BLX 50
75,115,118,4.84e-07,4.84e-07,0.0,38.06701265,0.0002342559953148,fictitious line
76,43,112,0.003137983,0.002592938,7.53484287569645e-05,9.33575385,0.421884364704497,BLX 50
77,112,113,4.85e-07,4.85e-07,0.0,38.06701265,0.0002347399953052,fictitious line
78,112,114,0.012978601,0.005981966,0.0001381033051259,8.95470268,0.8676302601595248,FeAl 25
79,45,116,0.001969871,0.000907933,2.096109555811624e-05,8.95470268,0.1316875130232221,FeAl 25
80,116,119,0.0018096,0.000834062,1.925567639808248e-05,8.95470268,0.1209732635115815,FeAl 25
81,119,122,0.001577958,0.00034464,0.0002898664950138,6.477870019999999,0.1191469117269369,TXSE 1x3x50 Al
82,122,123,5.91e-05,3.7e-05,2.7183670421282583e-05,11.24100974,0.0089388751955378,TXSP 3x1x95 Al
83,119,121,0.002767996,0.001729997,0.0012731690523084,11.24100974,0.4186594041581745,TXSP 3x1x95 Al
84,116,124,3.55e-07,3.55e-07,0.0,38.06701265,0.0001718199965636,fictitious line
85,119,120,0.004014763,0.000876859,0.0007375007947748,6.477870019999999,0.3031428040325362,TXSE 1x3x50 Al
86,47,49,0.002404525,0.001502828,0.001105986719454,11.24100974,0.3636844142055965,TXSP 3x1x95 Al
87,49,52,5e-07,5e-07,0.0,38.06701265,0.00024199999516,fictitious line
88,52,53,0.006660138,0.002181948,0.0012234488233328,7.62102355,0.5028871962214575,TXSE 3x1x50 Al
89,53,54,0.000813464,0.001171388,0.0014367796783952,17.71887976,0.3149732608,TXSE 3x1x240 Al
90,54,55,0.000679344,0.000978255,0.0011998904116712,17.71887976,0.2630419968,TXSE 3x1x240 Al
91,55,56,4.52e-07,4.52e-07,0.0,38.06701265,0.0002187679956246,fictitious line
92,56,57,0.000649836,0.000935764,0.0011477719469941,17.71887976,0.2516164992,TXSE 3x1x240 Al
93,57,58,0.00084086,0.001210839,0.0014851678259584,17.71887976,0.325580992,TXSE 3x1x240 Al
94,58,59,0.000577227,0.000189107,0.0001060349941616,7.62102355,0.0435846926314925,TXSE 3x1x50 Al
95,59,60,0.006187716,0.001351451,0.0011366662161231,6.477870019999999,0.467216017183826,TXSE 1x3x50 Al
96,60,61,0.000616922,0.000569006,0.0005069107050897,14.09889357,0.1449467223300971,TXSE 3x1x150 Al
97,61,62,3.55e-07,3.55e-07,0.0,38.06701265,0.0001718199965636,fictitious line
98,49,50,0.006017026,0.001314171,0.001105310937951,6.477870019999999,0.4543277233492176,TXSE 1x3x50 Al
99,50,51,3.71e-07,3.71e-07,0.0,38.06701265,0.0001795639964087,fictitious line
100,59,117,3.55e-07,3.55e-07,0.0,38.06701265,0.0001718199965636,fictitious line
101,48,63,0.021523491,0.006366164,0.0001472888504341,4.38208854,0.9243451538890628,Cu 16
102,63,65,0.01114168,0.005135311,0.0001185569101519,8.95470268,0.7448305650982086,FeAl 25
103,65,66,3.91e-07,3.91e-07,0.0,38.06701265,0.0001892439962151,fictitious line
104,63,64,3.17e-05,1.98e-05,1.4580750462853774e-05,11.24100974,0.0047946251048824,TXSP 3x1x95 Al
105,71,106,0.001124919,0.000245692,0.0002066444909842,6.477870019999999,0.0849392853250557,TXSE 1x3x50 Al
106,72,107,0.003319835,0.002084069,5.136203751058378e-05,10.9361688,0.3123032208538953,FeAl 35
107,107,108,3.15e-05,1.97e-05,1.448875834636889e-05,11.24100974,0.0047643751042207,TXSP 3x1x95 Al
108,76,102,4.04e-07,4.04e-07,0.0,38.06701265,0.0001955359960892,fictitious line
109,102,103,0.000601656,0.000225621,0.0002767380441791,9.14522826,0.0910004719906353,TXSE 1x3x95 Al
110,103,104,0.001108432,0.000415662,0.0005098350282978,9.14522826,0.1676503436673512,TXSE 1x3x95 Al
111,104,105,4.68e-07,4.68e-07,0.0,38.06701265,0.0002265119954697,fictitious line
112,82,100,0.003891899,0.000850025,0.0007149310197597,6.477870019999999,0.2938657091019877,TXSE 1x3x50 Al
113,100,101,5.17e-07,5.17e-07,0.0,38.06701265,0.0002502279949954,fictitious line
114,83,84,4.56e-07,4.56e-07,0.0,38.06701265,0.0002207039955859,fictitious line
115,85,97,0.008752581,0.002374613,0.0012836940467179,3.23893501,0.3683695036877114,FXCEL 1x3x16 Cu
116,97,98,0.000548522,0.000342826,0.0002522984985926,11.24100974,0.0829639543148365,TXSP 3x1x95 Al
117,98,99,4.76e-07,4.76e-07,0.0,38.06701265,0.0002303839953923,fictitious line
118,86,89,0.000841252,0.000525783,0.0003869427598856,11.24100974,0.1272393677833611,TXSP 3x1x95 Al
119,89,90,0.000436025,0.000272516,0.0002005543129516,11.24100974,0.0659487826926296,TXSP 3x1x95 Al
120,86,87,0.002969154,0.001863925,4.593655983586529e-05,10.9361688,0.2793139892227254,FeAl 35
121,87,88,8.15e-05,5.09e-05,3.748678746758936e-05,11.24100974,0.0123268752696503,TXSP 3x1x95 Al
122,86,91,0.000490918,0.000706922,0.0008670832466568,17.71887976,0.1900834496,TXSE 3x1x240 Al
123,9,15,4.84e-07,4.84e-07,0.0,38.06701265,0.0002342559953148,fictitious line
